 Imunizações - Cobertura - Brasil
Coberturas VacinaisDoses Cáculos CV por Imuno
Unidade da Federação: Bahia
Período:1994-2019
"Imuno";"Coberturas_Vacinais";"Doses_Cáculos_CV"
"072 BCG";101,74;6244833
"099 Hepatite B  em crianças até 30 dias";61,34;882368
"061 Rotavírus Humano";50,68;2178291
"053 Meningococo C";55,34;1701829
"073 Hepatite B";69,59;4271271
"080 Penta";68,17;1129073
"012 Pneumocócica";71,12;1487471
"074 Poliomielite";86,84;5329901
"100 Poliomielite 4 anos";0,10;128
"006 Febre Amarela";65,43;4016078
"096 Hepatite A";57,83;831921
"091 Pneumocócica(1º ref)";72,84;1047582
"092 Meningococo C (1º ref)";77,15;1109780
"093 Poliomielite(1º ref)";69,47;998796
"021 Tríplice Viral  D1";103,98;4670691
"098 Tríplice Viral  D2";65,76;945957
"097 Tetra Viral(SRC+VZ)";41,28;593866
"075 DTP";80,10;4915893
"102 DTP REF (4 e 6 anos)";3,64;79656
"103 Dupla Adulto (dt)";...;968477
"095 Tríplice Bacteriana(DTP)(1º ref)";70,64;1016137
"018 Sarampo";77,27;2088917
"009 Haemophilus influenzae b";22,72;548626
"094 Dupla adulto e tríplice acelular gestante";36,06;516931
"003 dTpa gestante";27,96;400721
"Total";70,43;47975194
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

