 Imunizações - Cobertura - Brasil
Coberturas VacinaisDoses Cáculos CV por Imuno
Período:1994-2019
"Imuno";"Coberturas_Vacinais";"Doses_Cáculos_CV"
"072 BCG";105,82;81684240
"099 Hepatite B  em crianças até 30 dias";68,79;14067937
"061 Rotavírus Humano";58,57;33391981
"053 Meningococo C";61,23;24391126
"073 Hepatite B";78,46;60563803
"080 Penta";77,80;18150707
"012 Pneumocócica";81,04;23575129
"074 Poliomielite";94,18;72702010
"100 Poliomielite 4 anos";0,43;13849
"006 Febre Amarela";37,72;28967446
"096 Hepatite A";63,73;13033884
"091 Pneumocócica(1º ref)";80,51;16461738
"092 Meningococo C (1º ref)";82,82;16934519
"093 Poliomielite(1º ref)";76,27;15595236
"021 Tríplice Viral  D1";102,30;61351515
"098 Tríplice Viral  D2";74,23;15180261
"097 Tetra Viral(SRC+VZ)";53,27;10894106
"075 DTP";85,86;66279719
"102 DTP REF (4 e 6 anos)";3,31;900636
"103 Dupla Adulto (dt)";...;15993679
"095 Tríplice Bacteriana(DTP)(1º ref)";72,52;14830062
"018 Sarampo";85,97;26135326
"009 Haemophilus influenzae b";26,00;7480155
"094 Dupla adulto e tríplice acelular gestante";40,48;8250384
"003 dTpa gestante";33,97;6922916
"Total";73,56;653752364
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

